State,hasDOBasPI,hasOnlineAccountsasPI,onlyRequiresAccess,governmentInvolvementRequired,thresholdNotifyAG,thresholdNotifyCRA,timeFrame,serviceProvidersNotifyCustomers,harmAnalysisAllowed,harmAnalysisRequired,financialAccountInformationisPI, notifyAGRequired,modifiedLawsin2018or2019,asSoonAsPossible,asSoonAsReasonablyPracticableFollowingDiscovery,within24Hours,immediatelyAfterDiscoveryifPIAcquiredbyUnauthorizedPerson,immediatelyAfterDiscoveryIfPIMisuseisLikelyToOccur,immediatelyAfterDeterminationorReasonableBeliefthatInformationhasBeenBreached,immediatelyAfterDiscoveryifPIWasIncludedinBreachedData,immediatelyAfterDiscoveryConsistentWithLegitimateNeedsofLawEnforcement,immediatelyAfterDiscovery,asSoonAsReasonablyPracticableandWithoutUnreasonableDelayifPIisLikelyToBeMisused,asSoonAsReasonablyPracticableandWithoutUnreasonableDelayifPIisAcquiredbyUnauthorizedPerson,inMostExpedientTimePossibleNoLaterThan45CalendarDays,inAnExpeditiousMannerifAcquisitionbyUnauthorizedPersonExistsandisReasonablyBelievedtoCauseaMaterialRiskofIdentityTheftorFraud,asSoonAsPracticableifServiceProviderhasnotenteredintoaContract,inMostExpedientTimePossibleAfterDiscovery
Alabama,FALSE,TRUE,FALSE,TRUE,1000,1000,45,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,
Alaska,FALSE,FALSE,FALSE,FALSE,,1000,,"If a breach of the security of the information system containing personal information of a state resident that is maintained by an information recipient occurs, the information recipient is not required to comply with AS 45.48.010 - 45.48.030. However, immediately after the information recipient discovers the breach, the information recipient shall notify the information distributor who owns the personal information or who licensed the use of the personal information to the information recipient about the breach and cooperate with the information distributor as necessary to allow the information distributor to comply with this statute. ""Cooperate"" means sharing with the information distributor information relevant to the breach, except for confidential business information or trade secrets.",TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,TRUE,,,,,,
Arizona,FALSE,TRUE,FALSE,TRUE,1000,1000,45,As soon as possible,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
Arkansas,FALSE,FALSE,FALSE,TRUE,,,,Immediately Following Discovery if PI was reasonably believed to have been acquired by an unauthorized person,TRUE,TRUE,TRUE,FALSE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
California,FALSE,TRUE,TRUE,FALSE,500,,15,Immediately Following Discovery if PI was reasonably believed to have been acquired by an unauthorized person,FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,
Colorado,FALSE,TRUE,FALSE,TRUE,500,1000,30,Immediately Following Discovery if misuse of PI is likely to occur,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,,TRUE,,,,,,
Connecticut,FALSE,FALSE,TRUE,TRUE,,,90,Immediately Following Discovery if PI was reasonably believed to have been breached,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,,
Delaware,FALSE,TRUE,FALSE,TRUE,500,,60,Immediately Following Determination of the Breach of Security,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,TRUE,,,TRUE,,,,,,
Florida,FALSE,TRUE,TRUE,TRUE,500,,30,As soon as practicable but no later than 10 days,TRUE,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,,,,,,,,,,
Georgia,FALSE,FALSE,FALSE,TRUE,,10000,,Within 24 hours following discovery,FALSE,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,,,,,,,
